'DOH000000000007343','10','1035','103501','000000000','02','2015','I10','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','1','1','0','2','1','4','0','4','2','6','4','1','4','5','2','0','2','5','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','A15','0','0','0','1','1','0','0','1','0','0','0','0','0','0','0','1','0','0','1','0','0','1','0','0','0','1','3','2','3','0','1','0','2','0','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','J45','0','0','0','2','1','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','3','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','N39','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','3','0','1','0','2','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','J18','1','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','A09','1','1','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','M10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','0','1','0','0','0','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','L03','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','0','0','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','B86','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','L23','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','D44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','H00','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','K30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','W53','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','B02','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','D64','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','H10','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007343','10','1035','103501','000000000','02','2015','M77','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
