'DOH000000000000064','09','0972','097218','097218061','03','2016','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','0','0','1','0','2','0','0','0','2','Y'
'DOH000000000000064','09','0972','097218','097218061','03','2016','H65','0','0','3','1','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','03','2016','T79','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','1','0','0','1','Y'
'DOH000000000000064','09','0972','097218','097218061','03','2016','E04','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','03','2016','T78','0','1','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','03','2016','A06','0','0','1','2','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','03','2016','K29','0','0','0','2','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','03','2016','T14','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','03','2016','J45','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','03','2016','L30','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','0','1','0','Y'
'DOH000000000000064','09','0972','097218','097218061','03','2016','L02','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','03','2016','K05','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','03','2016','N63','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
