'DOH000000000006905','03','0369','036903','036903050','4','2013','J06','11','8','35','28','9','7','3','0','0','1','1','0','0','3','0','0','2','1','0','2','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','J40','0','0','1','0','4','3','0','1','1','1','0','2','0','2','0','1','0','0','0','0','0','1','0','0','0','1','0','0','0','6','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','N39','0','1','1','2','4','2','1','0','0','1','0','2','0','2','1','0','0','1','0','2','0','0','0','1','0','1','0','0','1','1','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','3','2','2','2','7','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','L01','0','0','6','3','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','J45','0','1','2','1','0','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','L30','1','0','1','1','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','W54','0','0','1','0','1','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','H10','0','1','0','2','2','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','L08','0','0','1','1','0','1','1','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','A15','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','1','0','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','K21','0','0','0','0','0','0','0','0','0','0','0','3','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','L04','0','0','0','0','1','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','H81','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','1','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','H65','0','0','2','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','B09','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006905','03','0369','036903','036903050','4','2013','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','Y'
