'DOH000000000004672','01','0129','012908','012908014','03','2017','J06','10','8','57','41','27','25','4','5','1','6','0','3','2','4','0','3','1','1','3','5','4','2','0','4','5','10','1','6','3','7','2','3','1','4','Y'
'DOH000000000004672','01','0129','012908','012908014','03','2017','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','1','3','0','0','2','1','5','0','3','2','6','1','3','1','3','Y'
'DOH000000000004672','01','0129','012908','012908014','03','2017','K30','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','2','2','1','2','0','0','1','1','0','2','0','1','0','1','Y'
'DOH000000000004672','01','0129','012908','012908014','03','2017','A09','0','1','3','3','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','1','0','0','Y'
'DOH000000000004672','01','0129','012908','012908014','03','2017','H10','0','0','2','2','2','2','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004672','01','0129','012908','012908014','03','2017','J22','0','0','1','0','2','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','2','0','1','0','1','Y'
'DOH000000000004672','01','0129','012908','012908014','03','2017','M79','0','0','0','0','1','0','0','1','0','0','0','0','0','2','0','0','0','1','1','2','1','3','0','1','0','0','0','0','0','2','0','1','0','1','Y'
'DOH000000000004672','01','0129','012908','012908014','03','2017','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','1','0','2','0','1','0','1','Y'
'DOH000000000004672','01','0129','012908','012908014','03','2017','T79','0','0','0','2','1','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004672','01','0129','012908','012908014','03','2017','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','1','1','0','0','1','0','0','0','1','Y'
'DOH000000000004672','01','0129','012908','012908014','03','2017','B37','0','0','1','1','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004672','01','0129','012908','012908014','03','2017','L02','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
