'DOH000000000002087','17','1759','175913','145913011','1','2014','J06','14','7','49','39','27','21','6','13','3','2','1','9','2','8','0','4','2','2','1','0','7','7','2','7','2','3','0','3','9','9','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','J18','7','2','15','7','6','7','1','1','0','0','0','1','0','0','0','0','1','0','0','0','0','0','1','0','0','1','0','0','2','2','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','2','2','3','0','3','0','8','12','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','N39','0','0','0','1','0','1','1','2','0','0','0','2','0','4','0','4','0','1','0','0','1','2','0','1','0','1','1','0','2','3','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','A15','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','3','1','3','0','0','1','1','0','1','2','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','H65','0','0','3','1','1','0','0','1','1','0','0','0','2','2','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','A01','0','0','0','0','2','0','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','J22','0','0','0','0','2','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','2','0','0','1','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','A09','0','1','2','4','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','K29','0','0','0','0','0','0','0','0','0','1','2','0','0','3','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','L30','0','0','2','1','0','2','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','1','1','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','H10','1','0','1','1','0','1','1','0','1','0','0','0','0','0','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','1','2','0','0','3','0','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','L02','0','0','0','0','0','0','1','0','0','0','0','1','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','L23','3','0','3','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','L01','1','0','3','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','T79','0','0','1','1','1','1','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','B86','3','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','S06','0','0','2','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','Y'
'DOH000000000002087','17','1759','175913','145913011','1','2014','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','4','0','Y'
