'DOH000000000000064','09','0972','097218','097218061','11','2015','J06','0','3','13','16','10','5','0','1','2','0','1','1','0','1','0','0','0','2','1','2','0','1','0','1','0','0','2','0','0','3','0','0','0','3','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','J40','2','0','10','8','2','1','1','1','1','1','0','0','0','0','0','1','0','1','0','0','1','1','0','0','0','0','0','0','5','1','1','0','4','1','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','1','0','2','0','0','0','0','3','7','1','5','2','2','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','J10','1','0','2','2','3','0','2','2','0','0','0','0','0','0','0','0','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','1','0','0','0','0','0','2','0','2','0','1','0','1','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','T78','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','2','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','J22','0','1','1','0','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','B86','0','0','3','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','J45','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','1','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','3','0','1','0','2','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','A09','1','0','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','N39','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','1','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','L23','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','M79','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','B82','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','A01','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','L30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','H10','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','B02','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','B34','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','H60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000000064','09','0972','097218','097218061','11','2015','T95','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
