'DOH000000000001712','01','0129','012903','012903000','04','2017','I10','0','2','0','0','0','0','0','0','0','0','1','1','0','1','8','4','11','16','16','35','24','33','33','44','33','56','40','48','71','130','26','52','45','78','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','J06','12','11','41','51','19','18','7','8','3','5','2','4','1','8','5','2','1','5','1','4','2','1','1','4','3','7','1','2','9','14','2','3','7','11','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','E10','0','0','0','0','0','0','0','0','1','0','0','1','0','0','1','0','0','1','3','4','1','3','3','4','4','5','8','4','10','14','6','7','4','7','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','N39','0','0','1','1','0','3','0','1','2','7','0','14','2','8','1','2','1','1','0','3','0','0','0','2','1','0','0','1','0','2','0','0','0','2','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','J18','3','3','4','2','1','2','1','1','0','3','0','0','0','0','1','0','0','0','0','0','2','0','1','0','1','0','2','2','3','5','2','1','1','4','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','J22','1','2','2','7','2','1','2','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','2','1','0','0','2','1','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','A09','0','0','4','4','1','3','0','1','0','1','0','0','0','0','2','0','0','0','0','0','0','1','0','0','0','0','0','0','4','3','0','2','4','1','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','T79','0','0','0','1','2','0','0','1','0','1','1','0','2','0','2','1','0','0','1','0','2','0','0','0','0','0','0','0','2','1','2','0','0','1','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','0','1','2','1','5','1','1','0','0','1','1','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','M15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','2','8','1','2','1','6','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','K30','0','0','0','0','0','0','0','1','1','0','0','0','0','1','0','0','1','0','0','0','0','0','0','4','0','1','1','0','1','1','0','0','1','1','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','3','0','0','2','0','1','3','2','0','0','3','1','2','0','1','1','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','J30','1','1','1','2','0','0','0','0','0','0','0','0','0','1','0','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','K29','0','0','0','0','3','0','0','2','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','T78','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','H10','0','0','1','2','1','0','0','1','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','T14','0','0','0','0','1','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','G43','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','2','1','0','0','0','2','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','L73','2','0','2','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','L30','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','L02','0','0','0','1','0','0','0','0','0','0','0','1','0','0','1','0','1','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','L01','0','0','3','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','J45','0','0','2','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','J42','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','1','2','0','0','1','2','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','S06','0','0','1','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','2','0','0','0','2','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','D64','0','0','0','0','0','0','0','0','0','0','0','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','M54','0','0','0','0','0','0','0','0','0','1','1','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','M94','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','B86','0','0','2','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','B37','0','0','1','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','B09','0','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','B34','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','N76','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','4','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','K04','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','B01','0','0','0','0','1','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','L50','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','M43','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','H60','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','I60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','1','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','O03','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000001712','01','0129','012903','012903000','04','2017','O14','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
