'DOH000000000006529','03','0369','036906','036906027','09','2014','J40','0','0','2','0','1','1','0','2','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000006529','03','0369','036906','036906027','09','2014','T78','0','0','3','2','0','2','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','09','2014','G44','0','0','0','0','1','0','0','0','2','0','0','0','0','0','0','0','0','1','0','2','0','1','0','0','0','0','0','1','1','0','1','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','09','2014','H65','0','0','2','1','1','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','09','2014','L01','0','0','5','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','09','2014','A15','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','2','0','0','1','0','0','0','0','1','0','1','0','1','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','09','2014','J45','0','0','3','1','3','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','09','2014','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','3','0','0','0','3','0','Y'
'DOH000000000006529','03','0369','036906','036906027','09','2014','B09','0','0','0','3','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','09','2014','J30','0','0','0','2','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','09','2014','I60','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','1','0','0','2','Y'
'DOH000000000006529','03','0369','036906','036906027','09','2014','M94','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','09','2014','K29','0','0','0','0','1','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000006529','03','0369','036906','036906027','09','2014','S06','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
