'DOH000000000007868','08','0860','086011','000000000','11','2015','J06','5','3','17','11','7','7','1','1','0','2','1','3','1','2','0','1','0','2','0','2','0','1','0','1','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','J18','6','0','10','14','1','0','1','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','A09','0','0','4','7','1','1','0','0','0','0','0','0','0','0','1','2','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','1','0','1','0','0','2','0','1','0','4','0','1','0','3','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','N39','0','0','1','1','0','1','0','1','0','0','0','0','0','1','1','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','L08','0','0','3','2','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','L01','0','0','3','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','A06','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','1','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','R10','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','T20','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','J30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','I20','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','A90','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','K29','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','B34','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','M79','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','A49','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','K05','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007868','08','0860','086011','000000000','11','2015','G44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
