'DOH000000000007698','01','0129','012932','012932005','05','2017','I10','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','2','7','1','6','6','10','4','15','10','12','12','22','23','40','13','11','10','29','Y'
'DOH000000000007698','01','0129','012932','012932005','05','2017','J40','4','5','26','15','15','6','4','4','3','3','3','0','0','2','0','4','1','3','0','5','0','6','3','7','1','2','2','3','8','7','3','1','5','6','Y'
'DOH000000000007698','01','0129','012932','012932005','05','2017','J06','7','2','11','10','0','5','2','1','0','0','0','3','0','3','0','0','0','0','0','1','1','2','0','2','1','1','0','1','3','6','1','0','2','6','Y'
'DOH000000000007698','01','0129','012932','012932005','05','2017','T78','0','0','2','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','2','1','0','0','2','3','2','1','0','2','2','Y'
'DOH000000000007698','01','0129','012932','012932005','05','2017','T14','0','0','0','0','0','0','0','0','0','1','0','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007698','01','0129','012932','012932005','05','2017','T79','0','0','3','0','2','4','1','1','2','0','0','0','0','1','1','0','0','1','0','1','0','0','0','0','0','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000007698','01','0129','012932','012932005','05','2017','L01','0','1','5','3','1','3','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007698','01','0129','012932','012932005','05','2017','L02','0','0','4','0','1','1','1','1','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','1','2','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007698','01','0129','012932','012932005','05','2017','E78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','3','2','0','1','2','1','1','1','1','1','0','0','Y'
'DOH000000000007698','01','0129','012932','012932005','05','2017','B34','0','1','4','1','2','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007698','01','0129','012932','012932005','05','2017','H81','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','1','1','2','0','2','0','0','0','Y'
'DOH000000000007698','01','0129','012932','012932005','05','2017','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','1','0','0','0','1','1','4','1','1','0','0','1','1','Y'
'DOH000000000007698','01','0129','012932','012932005','05','2017','K29','0','0','1','0','1','1','0','0','1','0','0','0','0','0','1','0','1','0','0','1','0','1','1','2','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000007698','01','0129','012932','012932005','05','2017','J22','0','1','0','0','2','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','2','0','2','0','0','0','2','Y'
'DOH000000000007698','01','0129','012932','012932005','05','2017','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','1','0','0','0','0','0','3','0','3','0','0','0','Y'
'DOH000000000007698','01','0129','012932','012932005','05','2017','K30','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','1','0','4','0','1','0','3','Y'
'DOH000000000007698','01','0129','012932','012932005','05','2017','H65','0','0','1','2','1','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','1','1','0','0','1','1','Y'
