'DOH000000000004925','03','0369','036906','036906031','02','2012','J06','21','20','120','112','45','38','6','13','9','3','0','3','6','8','2','11','3','14','1','5','1','4','3','7','5','8','6','11','5','7','Y'
'DOH000000000004925','03','0369','036906','036906031','02','2012','A09','1','1','21','11','10','1','3','1','0','0','0','2','0','0','0','0','0','1','0','2','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000004925','03','0369','036906','036906031','02','2012','K29','0','0','2','1','1','2','1','0','0','1','1','1','1','1','1','1','0','4','0','1','0','0','0','1','0','0','0','0','1','3','Y'
'DOH000000000004925','03','0369','036906','036906031','02','2012','B34','1','0','3','3','1','2','1','0','1','0','0','0','0','2','0','3','0','0','0','1','1','1','0','0','0','1','1','0','0','2','Y'
'DOH000000000004925','03','0369','036906','036906031','02','2012','T79','0','0','2','2','1','1','2','2','0','0','0','0','0','1','0','0','0','1','3','0','2','0','0','0','0','0','0','0','2','0','Y'
'DOH000000000004925','03','0369','036906','036906031','02','2012','M13','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','2','0','3','0','3','3','4','Y'
'DOH000000000004925','03','0369','036906','036906031','02','2012','B26','0','0','0','2','2','4','1','1','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004925','03','0369','036906','036906031','02','2012','L03','0','0','3','1','0','1','0','1','0','1','0','0','0','2','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','Y'
'DOH000000000004925','03','0369','036906','036906031','02','2012','T78','0','0','1','1','0','2','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','1','Y'
'DOH000000000004925','03','0369','036906','036906031','02','2012','B82','0','0','3','2','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004925','03','0369','036906','036906031','02','2012','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','5','0','1','0','0','0','0','1','1','Y'
'DOH000000000004925','03','0369','036906','036906031','02','2012','T14','1','0','1','1','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000004925','03','0369','036906','036906031','02','2012','J45','0','0','4','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000004925','03','0369','036906','036906031','02','2012','B37','0','0','1','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000004925','03','0369','036906','036906031','02','2012','G43','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
