'DOH000000000003157','03','0369','036901','036901013','6','2013','J06','2','4','21','13','12','9','8','2','0','0','0','1','0','2','0','1','0','1','2','2','1','2','0','0','0','1','0','1','1','3','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','J40','1','2','3','2','1','2','1','0','0','0','0','1','0','2','0','0','0','1','0','0','0','3','0','2','0','0','0','0','0','1','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','B34','1','2','3','4','3','3','0','0','0','0','0','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','1','1','1','0','3','2','0','0','0','1','6','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','J22','1','0','6','3','2','0','0','0','0','0','1','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','1','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','L01','0','0','2','9','2','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','A09','1','1','3','2','1','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','N39','0','0','0','0','2','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','0','0','0','1','1','0','0','0','1','3','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','K30','0','0','0','0','0','2','1','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','K29','0','0','1','1','0','0','1','1','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','B26','0','0','3','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','T14','0','0','1','0','0','3','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','M06','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','4','1','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','J45','0','0','4','0','1','0','3','3','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','2','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','A15','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','2','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','J18','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','L03','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','T79','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','L89','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','H81','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','T88','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','B82','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','B37','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','W54','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','L23','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','L30','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','L50','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','H60','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','I60','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','T95','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003157','03','0369','036901','036901013','6','2013','O23','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
